artist,song,link,text
Chuck Berry,Sweet Little Sixteen,/c/chuck+berry/sweet+little+sixteen_20030910.html,"They're really rockin' Boston  
In Pittsburgh, P. A.  
Deep in the heart of Texas  
And 'round the Frisco Bay  
All over St. Louis  
And down in New Orleans  
All the cats want to dance with  
Sweet little sixteen  
  
Sweet little sixteen  
She's just got to have  
About half a million  
Framed autographs  
Her wallet filled with pictures  
She gets 'em one by one  
Become so excited  
Watch her, look at her run  
  
Oh mommy mommy  
Please may I go  
It's such a sight to see  
Somebody steal the show  
Oh daddy daddy  
I beg of you  
Whisper to mommy  
It's all right with you  
  
'Cause they'll be rockin' on Bandstand  
In Philadelphia P.A.  
Deep in the heart of Texas  
And 'round the Frisco Bay  
All over St. Louis  
Way down in New Orleans  
All the cats want to dance with  
Sweet little sixteen  
  
'Cause they'll be rockin' on Bandstand  
Philadelphia P.A.  
Deep in the heart of Texas  
And 'round the Frisco Bay  
All over St. Louis  
Way down in New Orleans  
All the cats want to dance with  
Sweet little sixteen  
  
Sweet little sixteen  
She's got the grown up blues  
Tight dresses and lipstick  
She's sportin' high heel shoes  
Oh, but tomorrow morning  
She'll have to change her trend  
And be sweet sixteen  
And back in class again  
  
Well they'll be rockin' Boston  
Pittsburgh, P. A.  
Deep in the heart of Texas  
And 'round the Frisco Bay  
Way out in St. Louis  
Way down to New Orleans  
All the cats want to dance with  
Sweet little sixteen

"
Cliff Richard,All My Love,/c/cliff+richard/all+my+love_20032070.html,"All my love  
Came to nothin' at all my love  
When I woke up to find  
You were no longer mine  
All my love  
Throw away after all this time  
Now there's no place for me  
In the future you see  
I don't understand you  
I've done all I can do  
Tell me how could I give you more  
More than all my love  
All my love  
Came to nothin' at all my love  
When I woke up to find  
You were no longer mine  
All my love  
Throw away after all this time  
Now there's no place for me  
In the future you see  
I don't understand you  
I've done all I can do  
Tell me how could I give you more  
More than all my love  
All my love  
Came to nothin' at all my love  
When I woke up to find  
You were no longer mine  
All my love  
Throw away after all this time  
Now there's no place for me  
In the future you see  
All my love  
Came to nothin' at all my love

"
Youngbloodz,U-Way (How We Do It) (Remix),/y/youngbloodz/u+way+how+we+do+it+remix_20929575.html,"(Wodie, Shawty, Shawty, Wodie)  
(Wodie, Shawty, Shawty, Wodie)  
(Wodie, Shawty, Shawty, Wodie)  
(Wodie, Shawty, Shawty, Wodie)  
  
Now this one there that for them country folk  
Them heavy Chevy ridin' players with them hundred spokes  
And when I holla shawty shawt I know ya hear me, hoe  
And since you hard like blow, now tell me what you in for  
You and your partner ride a Benz, but your endz low  
You shake it, we take it, that's how we get it on the blow  
You, you wit, that's how we do it shawty, you ain't know?  
How to get it, willing to risk it with my cashload  
We sweepin', really we creepin', I chop you up bro  
Me and my nigga dead serious, like facin' death row  
'Bout that paper, my nigga serious bout that cash flow  
Punk ass, while I be comin' straight up out that Alto  
A-T-L and New Orleans will chop you up, bro  
  
[Chorus]  
Now where I'm from, we say Wodie  
And where I'm from, we say Shawty  
A-T-L and New Orleans  
Now how we do it when we do it Wodie, (U-Way)  
Now where I'm from, we say Wodie  
And where I'm from, we say Shawty  
A-T-L and New Orleans  
Now how we do it when we do it Shawty, (U-Way)  
  
'Gon slide them thangs out that attic, time ta polish 'em down  
We about to get it krunk, and let the violence go down  
Niggas ducked off in cuts, niggas sittin' on top of houses  
Pull my gun out like ""What!"", niggas run away like cowards  
Smoke angel dust, be ridin' at night in Jags and stuff  
And hit a nigga, prolly turn into a massacre  
I'm tellin' ya  
Please don't play, cause all day I been inhalin' blunts  
And my whole mind is blown away  
I feel like killing stuff (Skurt!)  
I pull up in a dropped Hummer  
And shoot 50 at them cocksuckers  
Say biatch, it don't, Wodie let me get 'em  
Just gimme the word, Unless shawty gonna spit 'em  
Nigga's blessings be with 'em, cause Lil Wayne burn niggas  
Bet them they gon try up for listenin' flippin' jurn niggas  
Y'all better learn niggas, If ya dumb, she can't chea  
Represent Cash Money, for all time, A-T-L. (Atlanta)  
  
[Chorus]  
  
We be them boys, have fro's with them grills  
And we be them boys, who gon' show you how it is  
From New Orleans, to A-T-L, my nigga, we let it loose  
So watch what you sayin', before we back the tap on you  
I got a, teck, it's on  
From the night to the early morn  
Young Bloodz, and Hot Boys, see we gon' let this shit be known  
Brother it's on, we gone, see we gon' hit you with some shit  
To make you bop ya head, and cut the food straight on that bitch  
Don't be surprised, in time, cause we gon' show you how we do it  
Cause when we do it, that's how we do it, Snizza off that fluid  
So get to it, my nigga  
And don't you fall, my nigga  
It's Attic Crew, with Cash Money, on the rise (rise, rise, rise)  
  
[Chorus: x2]

"
The Jam,The Modern World,/j/jam/the+modern+world_20068921.html,"This is a modern world, this is the modern world  
What kind of a fool do you think I am?  
You think I know nothing of the modern world  
All my life has been the same  
I've learned to live by hate and pain  
It's my inspiration drive  
I've learned more than you'll ever know  
Even at school I felt quite sure  
That one day I would be on top  
And I'd look down upon the map  
  
The teachers who said I'd be nothing  
This is the modern world that I've learnt about  
This is the modern world, we don't need no one  
To tell us what's right or wrong  
Say what you like 'cause I don't care  
I know where I am and going too  
It's somewhere I won't preview  
Don't have to explain myself to you  
I don't give two fucks about your review

"
Uriah Heep,My Joanna Needs Tuning,/u/uriah+heep/my+joanna+needs+tuning_20142302.html,"I was waiting for somebody  
This afternoon  
Hope that she remembered  
Our rendezvouz  
And when she didn't show  
Just like yesterday  
I do the last, I'll find another way  
One night I saw the stranger  
Across the hall  
I knew he was the reason  
Why she didn't call  
I wish I had imagined  
Or dreamt the lot  
But the heart didn't choose  
The pain I've got  
Now she' turning me inside out  
Upside down  
And me heart is all a roundabout  
Spinnin' round  
She's turnin' me inside out  
Inside out  
She's turnin' me inside out  
Inside out  
Now he's got all so melt  
With a diamond ring  
And she was thinking through  
Almost anything  
She's like a shadow going up  
Seventh avenue  
But so what, she's only going  
Where she's didn't to  
I just got one thing to say  
Just before I go  
Since he was the offender  
I want her to know  
Now my mind has got me the day  
I'm watching to  
I'll never raise a thought  
Of what she'd done  
  
  

"
Tears For Fears,Power,/t/tears+for+fears/power_20135534.html,"Last years rivals share their blood  
Sailor sworn to secrecy  
Ride the waves and stem the flood  
The tides of endless enmity  
Power now is all the rage  
Sons and daughters of the gun  
Hungry babies come of age  
Phasers switched and set to stun  
Power now, power how, power wow!  
Here's power  
If you're seeking power . . .  
Doctor held you tight and torn  
Boy he was a lucky man  
Out of you the future born  
Slight of foot and sight of hand  
Douse the candle, dim the light  
Focus not on fire or flame  
Don't believe that might is right  
Your soul can turn you just the same  
Power now, power how, power wow !  
If you're seeking power - here's power  
Power now, power how, power wow !  
If you're seeking power - here's power  
If you take my breath away  
The whole damn thing will turn and return  
Redefined, rearranged, rearranged  
And till my dying the day  
I guess I'll have to burn just to learn  
This the time, this the place  
To show a human face  
Dressed to kill we guessed you might  
Friend or foe or family  
We'll sacrifice the Virgin white  
Her death will be the life of me  
Power now is all the rage  
Don't excuse it use it well  
Keep the lion in his cage  
Free from hunger, free from hell  
Power now, power how, power wow !  
If you're seeking power - here's power!  

"
Alabama,Old (Baugh) Road,/a/alabama/old+baugh+road_20819588.html,"'Round 'Ole' Baugh Road it's a great place kids to grow  
Some grow up and move away  
Most of us decide to stay  
'Round the 'Ole' Baugh Road  
  
Hard working mom and dad  
Gve us things that they never had  
I our corner of the world  
Romance is slow for the boys and girls  
'Round the 'Ole' Baugh Road  
  
The neighborhood still looks the same  
Just new kids with the same old names  
My Baugh Road's in a southern state  
Your's may be anywhere, you. S. A.  
Look 'round 'Ole' Baugh Road  
  
I see the kids on 'Ole' Baugh Road  
I see the glory of the future glow  
Look to the Heavens and give a shout  
Like my daddy did when he started out  
  
'Round, 'round, 'round the 'Ole' Baugh Road  
'Round, 'round, 'round  
'Round, 'round, 'round  
'Round, 'round, 'round  
  
The 'Ole' Baugh Road  
'Round, 'round, 'round  
'Round, 'round, 'round

"
Joni Mitchell,Lesson In Survival,/j/joni+mitchell/lesson+in+survival_20075336.html,"Lesson in Survival  
Spinning out on turns  
That gets you tough  
Guru books-the Bible  
Only a reminder  
That you're just not good enough  
You need to believe in something  
Once I could in our love  
Black road  
Double yellow line  
Friends and kin  
Campers in the kitchen  
That's fine sometimes  
But I know my needs  
My sweet tumbleweed  
I need more quiet times  
By a river flowing  
You and me  
Deep kisses  
And the sun going down  
  
Maybe it's paranoia  
Maybe it's sensitivity  
Your friends protect you  
Scrutinize me  
I get so damn timid  
Not at all the spirit  
That's inside of me  
Oh baby I can't seem to make it  
With you socially  
There's this reef around me  
I'm looking way out at the ocean  
Love to see that green water in motion  
I'm going to get a boat  
And we can row it  
If you ever get the notion  
To be needed by me  
Fresh salmon frying  
And the tide rolling in  
  
I went to see a friend tonight  
'Was very late when I walked in  
My talking as it rambled  
Revealed suspicious reasoning  
The visit seemed to darken him  
I came in as bright  
As a neon light  
And I burned out  
Right there before him  
I told him these things  
I'm telling you now  
Watched them buckle up  
In his brow  
When you dig down deep  
You lose good sleep  
And it makes you  
Heavy company  
I will always love you  
Hands alike  
Magnet and iron  
The souls

"
Little Mix,Mr Loverboy,/l/little+mix/mr+loverboy_21069585.html,"You can be my lover  
I can be your love  
You can be my lover  
I can be your love  
You can be my lover  
I can be your love  
You can be my lover  
  
Loving you feels so right  
From the way you kiss me  
And how you hold me tight, no  
And every day with you is a surprise  
You put a smile on my face  
Don't ever wanna have to say goodbye  
  
I can't lie  
Yeah, you had me at hello  
And it's something you should know, baby  
  
Boy, you keep on blowing my mind  
Caught up in my emotions  
You can be my Mr. Loverboy  
The way you make me feel inside  
Come back over and over  
Won't you be my Mr. Lover, Mr. Loverboy?  
  
You can be my lover  
I can be your love  
You can be my lover  
I can be your love  
You can be my lover  
I can be your love  
You can be my lover  
  
Start on something brand new  
Got me second guessing  
If it's really true  
Touching from cheek to cheek  
And my knees are shaking  
Got me feeling weak  
  
I can't lie  
Yeah, you had me at hello  
And it's something you should know, baby  
  
Boy you keep on blowing my mind  
Caught up in my emotions  
You can be my Mr. Loverboy  
The way you make me feel inside  
Come back over and over  
Won't you be my Mr. Lover, Mr. Loverboy?  
  
Thought that you would be my Mr. Love  
You can be my lover  
I can be your love  
Won't won't you you be my loverboy?  
Hoping you'll be mine, mine, mine  
Hoping you'll be mine, mine, mine  
Just keep blowing my mind  
  
Boy you keep on blowing my mind  
Caught up in my emotions  
You can be my Mr. Loverboy  
The way you make me feel inside  
Come back over and over  
Won't you be my Mr. Lover, Mr. Loverboy?  
  
You can be my lover  
I can be your love  
You can be my lover  
I can be your love  
You can be my lover  
I can be your love  
You can be my lover  
  
You can be my lover  
I can be your love  
You can be my lover  
I can be your love  
You can be my lover  
I can be your love  
You can be my lover  
  
You can be my Mr. Loverboy

"
King Crimson,Cage,/k/king+crimson/cage_20165165.html,"Walking down the street do you stare at your feet and never do you let your
eyes meet the freaks, The deadbeat addicts,  
social fanatics, they're a dime a dozen and they carry guns  
  
[Chorus]  
Halloween, every other day of the week  
Living in a cage in the USA  
Living in a cage in the USA  
Holy smoke, somebody blew up the pope  
Living in a cage in the USA  
All around us the rules are changing  
Taller walls and stronger cages  
Nothing is sacred or too outrageous  
Taller walls and stronger cages  
  
What in the world is happening to the world?  
What in the world?  
Driving in your Mercedes you think you're safe, but you're never safe in a
world of hate with criminal minds with guns and  
knives who say ""gimme your ride or give your life""  
  
[Chorus]  
  
What in the world is happening to the world?  
What in the world?

"
