Track Name,Artist Name,Song ID,Genre,Release Date
Fader,The Temper Trap,7dyfRQLlTt5YoiY2c0YDY1,[],2009-06-19
Sherry,Frankie Valli & The Four Seasons,7sqK6f8dHVx3Q1GjFrVyGl,"['doo-wop', 'northern soul']",1962-10-01
I Took A Pill In Ibiza - Seeb Remix,"Mike Posner, Seeb",0vbtURX4qv1l7besfwmnD8,[],2016-05-06
Let Go for Tonight,Foxes,59lq75uFIqzUZcgZ4CbqFG,[],2014-05-12
The Way I Want To Touch You,Captain & Tennille,7KdcZQ3GJeGdserhK61kfv,['soft rock'],1975-01-01
Still Got Time (feat. PARTYNEXTDOOR),"ZAYN, PARTYNEXTDOOR",000xQL6tZNLJzIrtIgxqSl,[],2017-03-23
Your Song,Rita Ora,46xkXPGjR9Ig9BcaTUNus3,[],2018-11-23
Fix You,Coldplay,7LVHVU3tWfcxj5aiPFEW4Q,[],2005-06-07
There You'll Be - 2007 Remaster,Faith Hill,1s2khOWzC99udpUaPICLJI,['country'],2007
Every Breath You Take - Remastered 2003,The Police,1JSTJqkT5qHq8MDJnJbRE1,[],1983-06-17
You're the Inspiration - 2009 Remaster,Chicago,6d7PQZtTbHbcYqaygOW7vs,['soft rock'],1984-05-14
"The Key, The Secret",Urban Cookie Collective,0Lg4ckCFjFUeyHOeSozcWS,['eurodance'],2006-07-21
Paradise City,Guns N' Roses,6eN1f9KNmiWEhpE2RhQqB5,"['rock', 'glam metal', 'hard rock', 'classic rock']",1987-07-21
Tonight I'm Yours (Don't Hurt Me),Rod Stewart,5sgVguJJlA7thC8ybAFOo5,['soft rock'],1981
You Were On My Mind,We Five,36ckFm0oicmvX8bWEErIHd,[],2010-01-01
Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],"Daft Punk, Pharrell Williams, Nile Rodgers",2Foc5Q5nqNiosCNqttzHof,[],2013-04-19
Party,Christine Anu,6LZOgBvntXL1egqIHHPnhn,[],1995
Riptide,Vance Joy,2uXlHCUbq9OMUwx3hrk06o,['folk pop'],2014-08-05
Heartaches By The Number,Guy Mitchell,0mmveflIg5uKskiCOdRV3e,[],1995-01-01
The Edge of Heaven,Wham!,5AhRNIjYPBleR1lfHphcrE,['christmas'],1986-07-01
Should’ve Been Us,Tori Kelly,5SUKnxEQaFFeudmI4qYLd9,[],2016-01-29
Clap Your Hands,Kungs,7g7OshelYRRnOSEMmisJVI,[],2022-02-18
Good Clean Fun,The Monkees,1t4I9xuq9Mgdq4SR5hV8p5,[],1969-10-01
Together We Are One - Radio Mix,Delta Goodrem,7zCaXeBaRwCSQ9JJvop7OL,[],2006-04-01
No Secrets,The Angels,6K0kvkdppKPZcwQnedfTw9,[],1980-07-08
All For You,Sister Hazel,2skmOCFU64Bg7Ytkgwliwe,[],1997-01-01
Special,Garbage,3osBuOGzBR4wCFd5oHm0Un,[],1998-05-11
Saturday Sun,Vance Joy,2RiBogNRfulkNf7fVbPOrJ,['folk pop'],2018-02-23
Montego Bay,Bobby Bloom,6TBUBqz21JmF2hkeRbnwme,[],1970-01-01
Your Power,Billie Eilish,042Sl6Mn83JHyLEqdK7uI0,[],2021-07-30
Talk of the Town,John Farnham,0k74NnKBqPvvhA6SEf0tFz,[],2009
Starboy,"The Weeknd, Daft Punk",7MXVkk9YMctZqd1Srtv4MB,[],2016-11-25
Anthem for the Year 2000,Silverchair,3qaoPiN33Fc5uJRfhYjN34,"['grunge', 'post-grunge']",1999
Foreplay / Long Time,Boston,39C5FuZ8C8M0QI8CrMsPkR,"['classic rock', 'album rock']",1976
New Romantics,Taylor Swift,2vPMoMDXxu9uX1igWZmXSG,[],2023-10-26
She - Original Stereo Version; 2006 Remaster,The Monkees,2l1GIxmkts2O0qYrlwGwF0,[],1967-01-09
I'm Good?,Hilltop Hoods,1EuI95kVxZYLbENy8d6AOI,[],2020-05-01
The Chain - 2004 Remaster,Fleetwood Mac,5e9TFTbltYBg2xThimr0rU,"['classic rock', 'soft rock']",1977-02-04
Shoop,Salt-N-Pepa,0Pu71wxadDlB8fJXfjIjeJ,[],1993-10-12
Trouble,P!nk,0qrGSKtrEj7PJAGVBFE9vG,[],2003-11-10
You Got Me,Gavin DeGraw,4stNldZRtgwvHvb34INX5y,[],2014-07-28
I Am the Beat,The Look,4d1Lhk9rD8IzwDqDC8UowN,['power pop'],1981-08-20
Twistin' Matilda (And the Channel),Jimmy Soul,6Pi8qqxac8KYv7QyEfgHUm,[],2012-01-10
Nothing Can Divide Us,Jason Donovan,7we2GHBJmf48VKtB5mA3hZ,['musicals'],1988-09-10
Its Only the Beginning,Deborah Conway,6k1Sm3KOigV5HXyFkIvwLa,[],2020-09-04
S.O.S.,Jonas Brothers,6sDP4912wjwB7BJhbSnjS1,[],2007-01-01
Lil Boo Thang,Paul Russell,0cVyQfDyRnMJ0V3rjjdlU3,[],2023-08-18
Piece by Piece,Kelly Clarkson,3KbFtYPyVP6C7BQVgH2cCf,['christmas'],2016-03-04
Glamorous,"Fergie, Ludacris",4KTtYhxFtFL7mBwnjkKfLm,[],2006-09-13
Free Your Mind,En Vogue,2vG1yrWSMiL6egg6w4e9ma,['new jack swing'],1992-03-24
Untouchable (Originally Performed by Taylor Swift) [Vocal Version],Musical Creations Karaoke,6ZQIKSFLoonDStQchogVdC,[],2014-07-21
From The Sea,Eskimo Joe,1GR1U3xkN1gf8dzvcyGxfa,[],2004
Dance To This (feat. Ariana Grande),"Troye Sivan, Ariana Grande",2NjO87HyT80fsgejd3PLYW,[],2018-08-31
Into The Dark,Ben Lee,3ZHpOpU0cdqYL6WG7ZXTZk,[],2005-02-22
Happenin' All Over Again - Radio,Young Divas,1Xhz8EjC4GChCe46aR0MFy,[],2006-11-14
You've Never Been This Far Before,Conway Twitty,2PX54jMPTjvpgAod0oIuIP,"['country', 'traditional country', 'honky tonk']",2004-01-01
Superstylin',Groove Armada,2yWyFT6bW1Rd9cjVvYi4v8,"['big beat', 'trip hop']",2001-07-11
Halfway Gone,Lifehouse,7AsqUKKbPMxOFNIbRLBxHt,['post-grunge'],2010
Too Much (feat. Usher),"Marshmello, Imanbek, USHER",39umHdGKfpnjY4TFtnoQ51,['edm'],2020-10-23
Polaroid,Keith Urban,2vCEEjiWtVjFEmuCsggbAY,['country'],2020-09-18
Walk Right In,Dr. Hook,0iyFZC2XuPdLpfQpUeli4H,[],1992-01-01
Two Strong Hearts,John Farnham,3LQde40NABYOH14hWse0Yi,[],1988-07-22
Work from Home (feat. Ty Dolla $ign),"Fifth Harmony, Ty Dolla $ign",4tCtwWceOPWzenK2HAIJSb,['pop'],2016-05-27
Roar,Katy Perry,27tNWlhdAryQY04Gb2ZhUI,['pop'],2013-01-01
Time After Time,Cyndi Lauper,7o9uu2GDtVDr9nsR7ZRN73,[],1983-10-14
Freak On a Leash,Korn,6W21LNLz9Sw7sUSNWMSHRu,"['nu metal', 'metal', 'rap metal', 'alternative metal']",1998-08-18
Chulu Chululu,Bill & Boyd,5YDP1MSGDD5k0pm7j5KjMM,[],1964-01-01
Video Killed The Radio Star,The Buggles,6t1FIJlZWTQfIZhsGjaulM,[],1980-01-10
Lay Down (Candles In The Rain) - Long Version,"Melanie, The Edwin Hawkins Singers",66LevxamA5uN8xW2IzZYLg,[],1999-07-01
Poker Face,Lady Gaga,5R8dQOPq8haW94K7mgERlO,"['art pop', 'pop']",2008-01-01
Vegas Girl,Conor Maynard,55zVsfjfD9qbCCFRVv95qi,[],2012-05-28
Harder To Breathe,Maroon 5,4V9JDRqKjN8F2HWdlEDxvI,['pop'],2002
Dead And Gone,"T.I., Justin Timberlake",7IhsLJMqdxoo7YAZjaSMru,['southern hip hop'],2008-09-07
If,Janet Jackson,0t414ewhjcIiuPVF3QECz2,['new jack swing'],1993-05-18
Truth Hurts,Lizzo,3HWzoMvoF3TQfYg4UPszDq,[],2019-04-19
Be Mine!,Robyn,3FtkFLmplS7GGPFMIQ0dSR,[],2005-04-27
1 Thing,Amerie,1mnqraQ8oV8MX92rdOFLWW,[],2005
One Way Ticket,The Darkness,7EcEORJIGovoW8ZOwv4Ppt,['glam metal'],2005-11-28
Two Faces Have I,Lou Christie,1cpguRdD11njLNH2ZeWygE,['doo-wop'],1963-01-01
Freedom,Wham!,0PhU6i6Kei6x0CH3jocvA3,['christmas'],1984-10-23
Lido Shuffle,Boz Scaggs,7pG7odMa9PQ7ME0ZfnyR8d,['album rock'],1976-02-18
Slice of Heaven,Dave Dobbyn,6zov7K8BLAgXpjdG0G04N7,['nz reggae'],1988-03-22
Stone,Cyrus Villanueva,2sdfHK32bTMvrx6sXrW5zp,[],2015-11-24
Tell Him (Duet with Barbra Streisand),"Barbra Streisand, Céline Dion",6HKChbfE5klrUMHo3NrqzX,['adult standards'],1997-11-14
The Nips Are Getting Bigger,Mental As Anything,4wxbvj2DU5UVsUVU9FORSB,[],1979
Dance Wiv Me - Radio Edit,"Dizzee Rascal, Calvin Harris, Chrom3",6pTg4H8juKV9iSzrcVUbM3,['grime'],2011-01-01
Love Shack - Edit; 2019 Remaster,The B-52's,0LzeivEHO16a8eBQGlpVkE,"['new wave', 'post-punk']",1989-06-27
Country Grammar (Hot Shit),Nelly,3wMUvT6eIw2L5cZFG1yH9j,[],2000-06-27
Instant Crush (feat. Julian Casablancas),"Daft Punk, Julian Casablancas",2cGxRwrMyEAp8dEbuZaVv6,"['french house', 'electronic', 'electro']",2013-05-20
Michelle,The Overlanders,6gF1PezuzlmYQxVVYjZoM0,[],2022-10-28
Things That Make You Go Hmmm,"C & C Music Factory, Freedom Williams",4QWU4b9viti7aUefIHrccZ,[],1990
Hush Hush; Hush Hush / I Will Survive - Medley,The Pussycat Dolls,2H9CKpZiLDF223BbwehpDF,[],2009-01-01
Second Solution,The Living End,1kj3ASwCuqDnzehRd3WIz3,['psychobilly'],1999-01-15
You're The Best Thing,The Style Council,0Njh4xmjFcX3f8TO1ocdlb,[],1984-01-01
C'mon N' Ride It (The Train),Quad City DJ's,2QLEN3RVunMas7j0PHjeAT,['miami bass'],1996-06-18
Super Love,Dami Im,4AGkYEPy8SPf0JADQNsw2q,[],2014-10-14
Love Is In The Air,John Paul Young,4v2K1ZcRXUc87CLtEXI3Pf,[],2006-07-29
Forever Young,Youth Group,3tFECpGckFpp0HpQje78gi,[],2007-01-30
For You (Fifty Shades Freed) (& Rita Ora),"Liam Payne, Rita Ora",66xn6tB8s3l8uhj02OGneE,[],2018-02-09
Bad Habits,Billy Field,7LWcPva4L4gzduy2P8l21N,[],1981-07-01
I Wanna Do It with You,John Paul Young,2StJOq9EamOEV3WmslXoJl,[],2006-07-29
The Man,Taylor Swift,3RauEVgRgj1IuWdJ9fDs70,[],2019-08-23
Maria,P.J. Proby,1vtZsUR5LW6Yw3ZJCIGyKH,[],2021-05-06
Overkill,Men At Work,3iA4foXIFpekwHyma7pRs1,[],1983
