"Track Name","Artist Name","Genre","Year","Lyrics","Spotify Genres","Release Date","Popularity","Explicit"
"Versace on the Floor","Bruno Mars","dance pop,pop","2016-11-17","[Verse 1]
Let's take our time tonight, girl
Above us all the stars are watchin'
There's no place I'd rather be in this world
Your eyes are where I'm lost in
Underneath the chandelier
We're dancin' all alone
There's no reason to hide
What we're feelin' inside
Right now

[Pre-Chorus]
So, baby, let's just turn down the lights
And close the door
Oooh I love that dress
But you won't need it anymore
No, you won't need it no more
Let's just kiss 'til we're naked, baby

[Chorus]
Versace on the floor
Oooh take it off for me, for me, for me, for me now, girl
Versace on the floor
Oooh take it off for me, for me, for me, for me now, girl

[Verse 2]
Now I unzip the back to watch it fall
While I kiss your neck and shoulders
No, don't be afraid to show it all
I'll be right here ready to hold you
Girl, you know you're perfect from
Your head down to your heels
Don't be confused by my smile
'Cause I ain't ever been more for real, for real

[Pre-Chorus]
So just turn down the lights
And close the door
Oooh I love that dress
But you won't need it anymore
No, you won't need it no more
Let's just kiss 'til we're naked, baby

[Chorus]
Versace on the floor
Oooh take it off for me, for me, for me, for me now, girl
Versace on the floor
Oooh take it off for me, for me, for me, for me now, girl
Dance

[Bridge]
It's warmin' up
Can you feel it?
It's warmin' up
Can you feel it?
It's warmin' up
Can you feel it, baby?
It's warmin' up
Oh, seems like you're ready for more, more, more
Let's just kiss 'til we're naked

[Chorus]
Versace on the floor
Hey, baby
Take it off for me, for me, for me, for me now, girl
Versace on the floor
Oooh take it off for me, for me, for me, for me now, girl

[Outro]
Versace on the floor
Floor
Floor","","2016-11-17","78","False"
"If I Never See Your Face Again (Remix)","Maroon 5","pop,barbadian pop,pop,urban contemporary","2008-06-02","[Verse 1: Adam Levine]
Now as the summer fades, I let you slip away
You say I'm not your type, but I can make you sway
It makes you burn to learn you're not the only one
I'd let you be if you put down your blazing gun

[Pre-Chorus: Rihanna, Adam Levine]
Now you've gone somewhere else far away
I don't know if I will find you (Find you, find you)
But you feel my breath on your neck
Can't believe I'm right behind you (Right behind you)

[Chorus: Adam Levine, Rihanna, Both]
'Cause you keep me coming back for more (Coming back for more)
And I feel a little better than I did before
If I never see your face again, I don't mind
'Cause we got much further than I thought we'd get tonight, oh

[Verse 2: Rihanna, Adam Levine]
Sometimes you move so well, it's hard not to give in
I'm lost, I can't tell where you end and I begin
It makes you burn to learn I'm with another man
I wonder if he's half the lover that I am

[Pre-Chorus: Adam Levine, Rihanna]
Now you've gone somewhere else far away
I don't know if I will find you (Find you, find you)
But you feel my breath on your neck
Can't believe I'm right behind you (Right behind you)

[Chorus: Both, Rihanna]
'Cause you keep me coming back for more (Coming back for more)
And I feel a little better than I did before
If I never see your face again, I don't mind
'Cause we got much further than I thought we'd get tonight

[Bridge: Adam Levine & Rihanna]
Baby, baby, please believe me
Find it in your heart to reach me
Promise not to leave me behind (Promise not to leave me behind)
Take me down, but take it easy
Make me think, but don't deceive me
Torture me by taking your time
(Torture me, yeah, torture me)

[Chorus: Rihanna, Adam Levine, Both]
'Cause you keep me coming back for more
And I feel a little better than I did before
If I never see your face again, I don't mind
'Cause we got much further than I thought we'd get tonight
(Torture me, yeah, torture me)
Keep me coming back for more (Coming back for more)
And I feel a little better than I did before (Did before)
If I never see your face again, I don't mind
'Cause we got much further than I thought we'd get tonight","pop","2008-06-02","49","False"
"When I Was Young","The Animals","british invasion,classic rock,folk rock","2005-12-02","[Instrumental Intro]

[Verse 1]
The rooms were so much colder then
My father was a soldier then
And times were very hard
When I was young
When I was young

[Verse 2]
I smoked my first cigarette at ten
And for girls, I had a bad yen
And I had quite a ball
When I was young
[Instrumental Break]

[Chorus]
When I was young, it was more important
Pain more painful
The laughter much louder, yeah
When I was young
When I was young

[Verse 3]
I met my first love at thirteen
She was brown and I was pretty green
And I learned quite a lot
When I was young
When I was young

[Instrumental Bridge]

[Chorus]
When I was young, it was more important
Pain more painful
Laughter much louder, yeah
When I was young
When I was young

[Verse 4]
My faith was so much stronger then
I believed in fellow men
And I was so much older then
When I was young
When I was young

[Outro]
When I was young
When I was young
When I was young...","psychedelic rock, acid rock","1991-06-11","32","False"
"Dizzy","Tommy Roe","bubblegum pop,classic garage rock,merseybeat,rock-and-roll","1977-01-01","Dizzy
I'm so dizzy my head is spinning
Like a whirlpool, it never ends
And it's you, girl, making it spin
You're making me dizzy

First time that I saw you, girl
I knew that I just had to make you mine
But it's so hard to talk to you
With fellas hanging 'round you all the time

I want you for my sweet pet
But you keep playing hard to get
I'm going around in circles all the time

Dizzy
I'm so dizzy my head is spinning
Like a whirlpool, it never ends
And it's you, girl, making it spin
You're making me dizzy

I finally got to talk to you
And I told you just exactly how I felt
Then I held you close to me
And kissed you and my heart began to melt

Girl, you've got control on me
'Cause I'm so dizzy I can't see
I need to call a doctor for some help

Dizzy
I'm so dizzy my head is spinning
Like a whirlpool, it never ends
And it's you, girl, making it spin
You're making me dizzy, my head is spinning
Like a whirlpool it never ends
And it's you girl making it spin

You're making me dizzy
You're making me dizzy
I'm so dizzy
You're making me dizzy","bubblegum pop","2001-01-01","50","False"
"When You’re Gone","Bryan Adams","canadian pop,canadian singer-songwriter,classic canadian rock,heartland rock,mellow gold,soft rock,dance pop,europop,talent show","1998-01-01","[Intro: Bryan Adams]
(When you're gone)

[Verse 1: Bryan Adams & Melanie C]
I've been wandering around the house all night
Wondering what the hell to do
Yeah, I'm trying to concentrate
But all I can think of is you

[Pre-Chorus: Bryan Adams & Melanie C]
Well, the phone don't ring 'cause my friends ain't home
I'm tired of being all alone
Got the TV on 'cause the radio's playing
Songs that remind me of you

[Chorus: Bryan Adams & Melanie C, Bryan Adams]
Baby, when you're gone
I realize I'm in love
Days go on and on
And the nights just seem so long
Even food don't taste that good
Drink ain't doing what it should
Things just feel so wrong
Baby, when you're gone
Yeah

[Verse 2: Bryan Adams & Melanie C]
I've been driving up and down these streets
Tryna find somewhere to go
Yeah, I'm looking for a familiar face
But there's no one I know

[Pre-Chorus: Bryan Adams & Melanie C]
Oh, this is torture, this is pain
It feels like I'm gonna go insane
I hope you're coming back real soon
'Cause I don't know what to do

[Chorus: Bryan Adams & Melanie C, Melanie C & Bryan Adams]
Baby, when you're gone (When you're gone)
I realize I'm in love
Days go on and on (On and on)
And the nights just seem so long
Even food don't taste that good
Drink ain't doing what it should
Things just feel so wrong
Oh, yeah
Baby, when you're gone

[Guitar Solo]

[Chorus: Bryan Adams & Melanie C, Melanie C & Bryan Adams]
Baby, when you're gone (When you're gone)
I realize I'm in love (You're in love)
Days go on and on
And the nights just seem so long
Even food don't taste that good (Ooh)
Drink ain't doing what it should
Ah, things just feel so wrong (So wrong)
Baby, when you're gone (Yeah, you're gone)

[Outro: Bryan Adams & Melanie C]
Oh, baby, when you're gone
Yeah, baby, when you're gone","","1998-01-01","67","False"
"My Girl","The Temptations","classic soul,disco,memphis soul,motown,soul","1965-01-01","[Instrumental Intro]
[Verse 1]
I've got sunshine on a cloudy day
When it's cold outside, I've got the month of May
I guess you'd say
What can make me feel this way?

[Chorus]
My girl, my girl, my girl
Talkin' 'bout my girl, my girl

[Verse 2]
I've got so much honey, the bees envy me
I've got a sweeter song than the birds in the trees
Well, I guess you'd say
What can make me feel this way?

[Chorus]
My girl, my girl, my girl
Talkin' 'bout my girl, my girl

[Bridge]
Ooh, ooh
Hey, hey, hey
Ooh, ooh
Hey, hey, hey
Ooh, ooh, yeah

[Verse 3]
I don't need no money, fortune, or fame
I've got all the riches, baby, one man can claim
Well, I guess you'd say
What can make me feel this way?

[Chorus]
My girl, my girl, my girl
Talkin' 'bout my girl, my girl
(Talkin' 'bout my girl)

[Outro]
I've got sunshine on a cloudy day (Woah, woah)
With my girl
I've even got the month of May
With my girl
Talkin' 'bout, talkin 'bout, talkin 'bout my girl
Ooh, my girl
That's all I can talk about is my girl
Why don't you believe she's all my girl","motown, soul","1965-03-22","80","False"
"Sunshine on a Rainy Day","Christine Anu","australian indigenous music,australian pop,australian rock","2000","[Intro]
Ooh, ooh-ooh
Yeah, yeah
Ooh, ooh-ooh

[Instrumental Break]

[Verse 1]
I see you in the darkness
I see you in the light
I see your eyes shining
In through the night
Make me feel, make me feel
Like I belong
Don't leave me, you won't leave me here
All alone

[Pre-Chorus 1]
Cast your eyes
Like summer skies
Blue earth and the ocean
Clearer than the skies, yeah

[Chorus]
Sunshine on a rainy day
Makes my soul, makes my soul drip, drip, drip away
Sunshine on a rainy day
Makes my soul, makes my soul drip, drip, drip away

[Verse 2]
You touch me with your spirit
You touch me with your heart
You touch me in the darkness
I feel it start

[Pre-Chorus 2]
Make me feel, make me feel
So unreal (So unreal)
Like a wind in the desert
Like a moon on the sea, oh!

[Chorus]
Sunshine on a rainy day (Sunshine)
Makes my soul, makes my soul drip, drip, drip away
Sunshine on a rainy day (Sunshine)
Makes my soul, makes my soul drip, drip, drip away
Sunshine on a rainy day (Sunshine)
Makes my soul, makes my soul drip, drip, drip away
Sunshine on a rainy day (Sunshine)
Makes my soul, makes my soul drip, drip, drip away

[Outro]
Sunshine, sunshine
Sunshine, sunshine
Sunshine, sunshine...","","2000","41","False"
"Voodoo Child","Rogue Traders","australian dance,australian pop,australian rock,dance rock","2003","[Intro]
Baby, baby, baby
You are my voodoo child, my voodoo child

[Verse 1]
You're like Voodoo, baby
You just take hold
Put your cards on the table, baby
Do I twist? Do I fold?

[Verse 2]
You're like Voodoo, honey
All silver and gold
Why don't you tell me my future?
Why don't I sell you my soul?

[Pre-Chorus]
So here it comes, the sound of drums
Here come the drums, here come the drums

[Chorus]
Baby, baby, baby
You are my voodoo child, my voodoo child
Don't say maybe, maybe
It's supernatural, I'm coming undone
Baby, baby, baby
You are my voodoo child, my voodoo child
Don't say maybe, maybe
(It's supernatural, I'm coming undone)

[Verse 3]
You're like Voodoo, baby
Your kisses are cold
Feel your poison running through me
Let me never grow old

[Verse 4]
You're like Voodoo, honey
My pictures you stole
You play me like a puppet
Sticking pins in a doll (Sticking pins in a doll)

[Pre-Chorus]
So here it comes, the sound of drums
Here come the drums, here come the drums

[Chorus]
Baby, baby, baby
You are my voodoo child, my voodoo child
Don't say maybe, maybe
It's supernatural, I'm coming undone
Baby, baby, baby
You are my voodoo child, my voodoo child
Don't say maybe, maybe
(It's supernatural, I'm coming undone)

[Instrumental]

[Pre-Chorus]
Here come the drums, here come the drums

[Chorus]
Baby, baby, baby
You are my voodoo child, my voodoo child
Don't say maybe, maybe
It's supernatural, I'm coming undone

[Outro]
Baby, baby, baby
You just take hold
Don't say maybe, maybe
Do I twist? Do I fold?","","2003","49","False"
"Don’t Let the Rain Come Down (Crooked Little Man)","The Serendipity Singers","american folk revival","1998-03-17","(Ah, ah)
Oh, no, don't let the rain come down
(Ah, ah)
Oh, no, don't let the rain come down
(Ah, ah)
Oh, no, don't let the rain come down
My roof's got a hole in it and I might drown
Oh yes, my roof's got a hole in it and I might drown

There was a crooked man and he had a crooked smile
Had a crooked sixpence and he walked a crooked mile
Had a crooked cat and he had a crooked mouse
They all lived together in a crooked little house

(Ah, ah)
Oh, no, don't let the rain come down
(Ah, ah)
Oh, no, don't let the rain come down
(Ah, ah)
Oh, no, don't let the rain come down
My roof's got a hole in it and I might drown
Oh yes, my roof's got a hole in it and I might drown

Well, this crooked little man and his crooked little smile
Took his crooked sixpence and he walked a crooked mile
Bought some crooked nails and a crooked little bat
Tried to fix his roof with a rat-tat-tat-tat-tat

(Ah, ah)
Oh, no, don't let the rain come down
(Ah, ah)
Oh, no, don't let the rain come down
(Ah, ah)
Oh, no, don't let the rain come down
My roof's got a hole in it and I might drown
Oh yes, my roof's got a hole in it and I might drown

Now this crooked little man and his crooked cat and mouse
They all live together in a crooked little house
Has a crooked door with a crooked little latch
Has a crooked roof with a crooked little patch

(Ah, ah)
Oh, no, don't let the rain come down
(Ah, ah)
Oh, no, don't let the rain come down
(Ah, ah)
Oh, no, don't let the rain come down
My roof's got a hole in it and I might drown
Oh yes, my roof's got a hole in it and I might drown

(Ah, ah)
Oh, no, don't let the rain come down
(Ah, ah)
Oh, no, don't let the rain come down
(Ah, ah)
Oh, no, don't let the rain come down
My roof's got a hole in it, my roof's got a hole in it
My roof's got a hole in it and I might drown","folk","1998-03-17","30","False"
"9 to 5","Dolly Parton","classic country pop,country,country dawn","2009-10-30","[Verse 1]
Tumble out of bed and I stumble to the kitchen
Pour myself a cup of ambition
And yawn and stretch and try to come to life
Jump in the shower and the blood starts pumpin'
Out on the street, the traffic starts jumpin'
With folks like me on the job from nine to five

[Chorus]
Workin' nine to five, what a way to make a livin'
Barely gettin' by, it's all takin' and no givin'
They just use your mind and they never give you credit
It's enough to drive you crazy if you let it
Nine to five, for service and devotion
You would think that I would deserve a fair promotion
Want to move ahead but the boss won't seem to let me
I swear sometimes that man is out to get me
Mmmm

[Verse 2]
They let you dream just to watch 'em shatter
You're just a step on the bossman's ladder
But you've got dreams he'll never take away
In the same boat with a lot of your friends
Waitin' for the day your ship'll come in
And the tide's gonna turn an' it's all gonna roll your way

[Chorus]
Working nine to five, what a way to make a livin'
Barely gettin' by, it's all takin' and no givin'
They just use your mind and you never get the credit
It's enough to drive you crazy if you let it
Nine to five, yeah, they got you where they want you
There's a better life and you think about it don't you
It's a rich man's game no matter what they call it
And you spend your life puttin' money in his wallet
Nine to five, what a way to make a livin'
Barely gettin' by, it's all takin' and no givin'
They just use your mind and they never give you credit
It's enough to drive you crazy if you let it
Nine to five, yeah, they got you where they want you
There's a better life and you think about it don't you
It's a rich man's game no matter what they call it
And you spend your life puttin' money in his wallet","country","1980","78","False"
